"sigla_evento";"nome_evento";"estrato"
DSN;Annual IEEE/IFIP International Conference on Dependable Systems and Networks;A2
DSNW;IEEE International Conference on Dependable Systems and Networks Workshops;B3
DSP;International Conference on Digital Signal Processing;A4
DSRT;IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications;B2
DySPAN;IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks;A4
E-Learning;IADIS International Conference on e-Learning;B3
EA;International Conference on Artificial Evolution;B3
EACL;Conference of the European Chapter of the Association for Computational Linguistics;A1
EAIS;IEEE Conference on Evolving and Adaptive Intelligent Systems;B2
EANN;Internation Conference on Engineering Applications of Neural Networks;B2
EASE;International Conference on Evaluation and Assessment in Software Engineering;A3
EATIS;Euro American Conference on Telematics and Information Systems;B3
EC;ACM conference on Economics and Computation;A1
EC-TEL;EC-TEL - European Conference on Technology Enhanced Learning;A3
ECAI;European Conference on Artificial Intelligence;A3
ECAL;European Conference on Artificial Life;B1
ECC;European Control Conference;A2
ECCE;European Conference on Cognitive Ergonomics;B3
ECCTD;European Conference on Circuit Theory and Design;B2
ECCV;European Conference on Computer Vision;A1
ECCWS;European Conference on Cyber Warfare and Security;B3
ECIR;European Conference on Information Retrieval;A2
ECIS;European Conference on Information Systems;A2
ECMDAFA;European Conference on Modelling Foundations and Applications;B1
FUZZIEEE;IEEE International Conference on Fuzzy Systems;A3
ECML;European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases;A2
ECMR;European Conference on Mobile Robots;A3
ECMS;European Conference on Modelling and Simulation;B1
ECOOP;European Conference on Object-Oriented Programming;A3
ECRTS;Euromicro Conference on Real-Time Systems;A2
ECSA;European Conference on Software Architecture;A4
ECSAW;European Conference on Software Architecture Workshops;B2
ECSQARU;European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty;B1
ECTA;International Conference on Evolutionary Computation Theory and Applications;B4
ECTEL;European Conference on Technology Enhanced Learning;A4
ECWeb;International Conference on Electronic Commerce and Web Technologies;B2
EDBT;International Conference on Extending Database Technology;A2
EDCC;European Dependable Computing Conference;B1
EDM;International Conference on Educational Data Mining;A2
EDOC;IEEE International Enterprise Distributed Object Computing Conference;A3
EEEWC;International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government;B4
EGOV;International Conference on Electronic Government;A4
EGOV-CEDEM-EPART;International Conference on Electronic Government/International Conference for E-Democracy and Open Government;A4
EGOVIS;International Conference on Electronic Government and the Information Systems Perspective;B1
EICS;ACM SIGCHI Symposium on Engineering Interactive Computing Systems;A3
EIDWT;International Conference on Emerging Intelligent Data and Web Technologies;B2
EIS;SPIE Human Vision and Electronic Imaging;B1
eKNOW;IARIA International Conference on Information, Process, and Knowledge Management;B4
ELECAI;Electronics, Computers and Artificial Intelligence;B2
EM-GIS;International Workshop on the Use of GIS in Emergency Management;B4
EMAS;International Workshop on Engineering Multiagent Systems;B4
EMBC;Annual International Conference of the IEEE Engineering in Medicine and Biology Society;A2
EMBS;IEEE-EMBS International Conference on Biomedical and Health Informatics;A3
EMNLP;Conference on Empirical Methods in Natural Language Processing;A1
EMO;International Conference on Evolutionary Multi-Criterion Optimization;A4
EMSOFT;ACM International Conference on Embedded Software;A3
ENANPAD;Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração;B2
ENASE;International Conference on Evaluation of Novel Approaches to Software Engineering;B2
ENERGY-IARIA;IARIA International Conference on Smart Grids, Green Communications and IT Energy-aware Technologies;B4
ENIAC;Encontro Nacional de Inteligencia Artificial e Computacional;B4
ENIC;European Network Intelligence Conference;B3
EPIA;Portuguese Conference on Artificial Intelligence;B2
ER;International Conference on Conceptual Modeling;A3
ERLANG;ACM SIGPLAN Erlang Workshop;B3
ESA;European Symposium on Algorithms;A3
ESANN;European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning;B1
ESCIENCE;cience - IEEE International Conference on e-Science;A3
ESEC/FSE;Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering;A1
ESELAW;Workshop Latinoamericano de Ingeniería de Software Experimental;B4
ESEM;ACM/IEEE International Symposium on Empirical Software Engineering and Measurement;A3
ESOCC;EUROPEAN CONFERENCE ON SERVICE-ORIENTED AND CLOUD COMPUTING;A4
ESOP;European Symposium on Programming;A2
ESORICS;European Symposium on Research in Computer Security;A2
ESSCIRC;European Solid State Circuits Conference;A3
ESSDERC;European Solid State Device Research Conference;B1
ESWC;Extended Semantic Web Conference;A2
ESWS;European Semantic Web Conference;A2
ETELEMED-IARIA;IARIA International Conference on eHealth, Telemedicine, and Social Medicine;B4
ETFA;IEEE International Conference on Emerging Technologies and Factory Automation;A3
ETRA;Biennial ACM Symposium on Eye Tracking Research & Applications;A4
ETS;IEEE European Test Symposium;B1
EUC;IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing;B4
EuCNC;European Conference on Networks and Communications;A4
EUMAS;European Conference on Multi-Agent Systems;B3
EURO;European Conference on Operational Research;B4
EUROCG;European Workshop on Computational Geometry;B4
EUROCOMB;European Conference on Combinatorics, Graph Theory and Applications;A3
EUROCRYPT;International Conference on Theory and Applications of Cryptographic Techniques;A1
EuroGP;European Conference on Genetic Programming;A4
EUROGRAPHICS;European Association for Computer Graphics;A1
EUROHAPTICS;Eurohaptics;A3
EUROITV;European Conference on Interactive TV and Video;B2
EUROMICRO;Euromicro Conference on Software Engineering and Advanced Applications;A4
EuroMPI;European MPI Users Group Meeting;B1
EUROPAR;European Conference on Parallel Computing;A3
EuroParW;Parallel Processing Workshops;B2
EUROPKI;European Public Key Infrastructure Workshop;B4
EuroPloP;European Conference on Pattern Languages of Programs;B2
EUROSIM;Congress on Modelling and Simulation;B3
EuroSPI;European Conference on Software Process Improvement;B2
EUROSYS;European Conference on Computer Systems;A1
EuroVis;EG/VGTC Conference on Visualization;A1
EuroVISW;EuroVis Workshop on Visual Analytics (EuroVA);B4
EUSFLAT;Conference of the European Society for Fuzzy Logic and Technology;B2
EUSIPCO;European Signal Processing Conference;A3
EUVIP;European Workshop on Visual Information Processing;B2
EVA;Electronic Visualisation and the Arts;B3
EVOAPPLICATIONS;European Conference on the Applications of Evolutionary Computation;A4
