"curriculo_id";"titulo_artigo";"nome_evento";"titulo_anais_ou_proceedings";"ano_trabalho"
2446301582459104;Classificação do Filme Lacrimal usando a Função K de Ripley como Descritor de Textura;SIMPÓSIO BRASILEIRO DE COMPUTAÇÃO APLICADA À SAÚDE (SBCAS 2018) (WIM 2018);Anais do 18th SIMPÓSIO BRASILEIRO DE COMPUTAÇÃO APLICADA À SAÚDE;2018
2446301582459104;Sistema autônomo de monitoramento da qualidade de ar aplicado a indústrias gesseiras utilizando arduíno e sensores de gás e poeira;ANAIS DO 14º SIMPóSIO BRASILEIRO DE AUTOMAçãO INTELIGENTE;Anais do 14º Simpósio Brasileiro de Automação Inteligente;2019
2446301582459104;Segmentação de Vértebras e Diagnóstico de Fraturas em Imagens de Ressonância Magnética Utilizando U-Net 3D e Deep Belief Network;XIX Simpósio Brasileiro de Computação Aplicada à Saúde;Anais do XIX Simpósio Brasileiro de Computação Aplicada à Saúde (SBCAS);2019
2446301582459104;Segmentação automática de lesões no cérebro em imagens de ressonância magnética usando superpixel, PSO e a rede geradora adversária com classificador auxiliar;XIX Simpósio Brasileiro de Computação Aplicada à Saúde;Anais do XIX Simpósio Brasileiro de Computação Aplicada à Saúde (SBCAS);2019
2446301582459104;Segmentação Semântica de Medidores de Energia Elétrica e Componentes de Identificação;"14º Simpósio Brasileiro de Automação Inteligente (SBAI)";"14º Simpósio Brasileiro de Automação Inteligente (SBAI)";2019
2446301582459104;Reconhecimento de Dígitos em Imagens de Medidores de Energia no Contexto de um Aplicativo de Autoleitura;"14º Simpósio Brasileiro de Automação Inteligente (SBAI)";"14º Simpósio Brasileiro de Automação Inteligente (SBAI)";2019
2446301582459104;Reconhecimento de Dígitos de Medidores de Energia por meio da Voz no Contexto de um Aplicativo de Autoleitura;"14º Simpósio Brasileiro de Automação Inteligente (SBAI)";"14º Simpósio Brasileiro de Automação Inteligente (SBAI)";2019
2446301582459104;Predição de ações judiciais no setor elétrico por falta de fornecimento de energia usando regressão logística;ANAIS DO 14º SIMPóSIO BRASILEIRO DE AUTOMAçãO INTELIGENTE;Anais do 14º Simpósio Brasileiro de Automação Inteligente;2019
2446301582459104;Predição de ações judiciais de consumo de energia não registrado usando a rede LSTM;ANAIS DO 14º SIMPóSIO BRASILEIRO DE AUTOMAçãO INTELIGENTE;Anais do 14º Simpósio Brasileiro de Automação Inteligente;2019
2446301582459104;Prediction of unregistered power consumption lawsuits and its correlated factors based on customer data using extreme gradient boosting model;"2019 IEEE International Conference on Systems, Man and Cybernetics (SMC)";"2019 IEEE International Conference on Systems, Man and Cybernetics (SMC)";2019
2446301582459104;Mobile Application for Crowdmapping Accessibility Places and Generation of Accessible Routes;Advances in Usability, User Experience and Assistive Technology;International Conference on Applied Human Factors and Ergonomics;2019
2446301582459104;Meta-Learning Applied to the Selection of the Classification Methods in Industrial Images;ANAIS DO 14º SIMPóSIO BRASILEIRO DE AUTOMAçãO INTELIGENTE;Anais do 14º Simpósio Brasileiro de Automação Inteligente;2019
2446301582459104;Meta-Data Construction for Selection of Breast Tissue Biopsy Slides Image Classifier to Identify Ductal Carcinoma;"2019 8th Brazilian Conference on Intelligent Systems (BRACIS)";"2019 8th Brazilian Conference on Intelligent Systems (BRACIS)";2019
2446301582459104;Image-based automatic counting of spottedfever-carrying tick larvae in vitro;XV Workshop de Visão Computacional;Anais do Workshop de Visão Computacional (WVC);2019
2446301582459104;Estimação de consumo de energia elétrica para novos consumidores baseado no consumo da vizinhança;Escola Regional de Computação Ceará, Maranhão, Piauí (ERCEMAPI 2019);VII Escola Regional de Computação Ceará, Maranhão, Piauí (ERCEMAPI 2019);2019
2446301582459104;Direct hydrocarbon indicators based on long short-term memory neural network;SEG Technical Program Expanded Abstracts 2019;SEG Technical Program Expanded Abstracts 2019;2019
2446301582459104;Contagem automática in vitro de larvas de carrapato utilizando U-Net e FRST;Simpósio Brasileiro de Automação Inteligente (SBAI);"14º Simpósio Brasileiro de Automação Inteligente - SBAI 2019";2019
2446301582459104;Classificação de Gliomas Utilizando Índices de Biodiversidade e de Diversidade Filogenética em Imagens por Ressonância Magnética Através de uma Abordagem Radiomics;XIX Simpósio Brasileiro de Computação Aplicada à Saúde;Anais do XIX Simpósio Brasileiro de Computação Aplicada à Saúde (SBCAS);2019
2446301582459104;Avaliação Automática do Alinhamento Ocular para Detecção do Estrabismo Usando Redes YOLO e U-net;Simpósio Brasileiro de Automação Inteligente (SBAI);"14º Simpósio Brasileiro de Automação Inteligente - SBAI 2019";2019
2446301582459104;Automatic Ocular Alignment Evaluation forStrabismus Detection Using Index of PhylogeneticDiversity and Support Vector Machine;XV Workshop de Visão Computacional;Anais do Workshop de Visão Computacional (WVC);2019
